front,back,tags
"Summarize the core idea of **Workflow Engine**.","A **workflow engine** orchestrates long-running, stateful business processes across distributed services with durability, retries, timers, and human tasks. Principal-level design covers **event sourcing of workflow history**, **deterministic replay**, **activity workers**, **saga compensation**, **versioning**, and **multi-tenant isolation**.","workflow-engine|summary"
"What is **ADR**?","Architecture Decision Record","architecture-decision-records|terminology"
"What is **Decision driver**?","Force shaping the choice (latency, cost, compliance)","architecture-decision-records|terminology"
"What is **Option**?","Viable alternative considered","architecture-decision-records|terminology"
"What is **Consequence**?","Positive and negative outcomes of a decision","architecture-decision-records|terminology"
"What is **Status**?","proposed \","architecture-decision-records|terminology"
"What is **Supersedes**?","Link to ADR this decision replaces","architecture-decision-records|terminology"
"What is **Y-statement**?","""In context X, facing Y, we decided Z to achieve W""","architecture-decision-records|terminology"
"What is **NFR**?","Non-functional requirement influencing decision","architecture-decision-records|terminology"
"What is **Fitness function**?","Automated check validating decision constraints","architecture-decision-records|terminology"
"What is **Architecture review board (ARB)**?","Group approving significant ADRs","architecture-decision-records|terminology"
"What is **RFC**?","Request for Comments—often broader than ADR","architecture-decision-records|terminology"
"What is **MADR**?","Markdown ADR template variant","architecture-decision-records|terminology"
"What is **Sustainable architectural decisions**?","Decisions that survive team changes (Zdun)","architecture-decision-records|terminology"
"Summarize the core idea of **Architecture Decision Records**.","An **Architecture Decision Record (ADR)** is a lightweight document that captures a single significant architectural decision together with its **context**, **drivers**, **considered options**, **chosen outcome**, **consequences**, and **status**. ADRs create an **audit trail** that outlasts chat threads, design reviews, and staff turnover—answering not only *what* was decided but *why alternatives were rejected* and *what tradeoffs the organization accepted*.","architecture-decision-records|summary"
"What is **ARB**?","Architecture Review Board","architecture-governance|terminology"
"What is **Guardrail**?","Mandatory constraint (e.g., mTLS internal)","architecture-governance|terminology"
"What is **Standard**?","Recommended pattern with approved implementations","architecture-governance|terminology"
"What is **Fitness function**?","Automated architectural compliance check","architecture-governance|terminology"
"What is **Exception / waiver**?","Documented temporary deviation","architecture-governance|terminology"
"What is **Tiered review**?","Depth scales with risk classification","architecture-governance|terminology"
"What is **Golden path**?","Default supported platform approach","architecture-governance|terminology"
"What is **Architecture runway**?","Pre-approved capacity for initiative class","architecture-governance|terminology"
"What is **Service catalog**?","Registry of systems and owners","architecture-governance|terminology"
"What is **Control framework**?","SOC2/ISO mapped technical controls","architecture-governance|terminology"
"What is **Principle**?","Durable guideline (e.g., ""prefer async integration"")","architecture-governance|terminology"
"What is **Sunset policy**?","End-of-life for deprecated standards","architecture-governance|terminology"
"Summarize the core idea of **Architecture Governance**.","**Architecture governance** is the set of processes, standards, and decision rights that ensure systems evolve coherently across teams without becoming a bottleneck or bureaucracy theater. Effective governance balances **guardrails** (non-negotiable security, reliability, compliance baselines) with **team autonomy** (local decisions within boundaries). It includes **architecture review boards (ARBs)**, **standards catalogs**, **ADR workflows**, **fitness functions** (automated architectural chec","architecture-governance|summary"
"What is **BLUF**?","Bottom Line Up Front—lead with conclusion","executive-communication|terminology"
"What is **Pyramid Principle**?","Structured communication from answer to supporting points","executive-communication|terminology"
"What is **OKR**?","Objectives and Key Results—alignment framework","executive-communication|terminology"
"What is **TCO**?","Total Cost of Ownership—multi-year cost view","executive-communication|terminology"
"What is **ROI**?","Return on Investment","executive-communication|terminology"
"What is **Risk register**?","Catalog of risks with likelihood, impact, mitigation","executive-communication|terminology"
"What is **Material risk**?","Significant enough for board disclosure (context-dependent)","executive-communication|terminology"
"What is **Decision memo**?","Written executive briefing with recommendation","executive-communication|terminology"
"What is **Pre-read**?","Document sent before meeting for async review","executive-communication|terminology"
"What is **Stakeholder map**?","Influence vs. interest grid for actors","executive-communication|terminology"
"What is **Confidence interval**?","Range expressing estimate uncertainty","executive-communication|terminology"
"What is **Phase gate**?","Milestone requiring approval to proceed","executive-communication|terminology"
"What is **Single-threaded owner**?","One accountable leader per initiative","executive-communication|terminology"
"Summarize the core idea of **Executive Communication**.","**Executive communication** is the discipline by which principal architects translate complex technical reality into **decisions executives can fund, defend, and measure**. Executives operate under constraints of **limited time**, **portfolio tradeoffs**, and **accountability to boards and markets**—they need clarity on risk, cost, timeline, and business outcome—not implementation minutiae unless it changes the decision.","executive-communication|summary"
"What is **Stakeholder**?","Anyone affected by or able to affect decision","influencing-without-authority|terminology"
"What is **RACI**?","Responsible, Accountable, Consulted, Informed","influencing-without-authority|terminology"
"What is **Organizational capital**?","Accumulated trust and goodwill","influencing-without-authority|terminology"
"What is **Coalition**?","Alliance of teams supporting initiative","influencing-without-authority|terminology"
"What is **Golden path**?","Easy default vs forced compliance","influencing-without-authority|terminology"
"What is **Disagree and commit**?","Dissent recorded; unified execution","influencing-without-authority|terminology"
"What is **Pre-read**?","Document reviewed before meeting","influencing-without-authority|terminology"
"What is **Six-page narrative**?","Amazon-style memo for depth","influencing-without-authority|terminology"
